n;Lista;Tablica malejąca;Kopiec
43700;80;191;450
43800;70;180;451
43900;80;190;451
44000;80;180;441
44100;120;260;641
44200;70;200;451
44300;80;180;440
44400;71;190;461
44500;70;191;431
44600;80;181;451
44700;80;191;461
44800;80;190;451
44900;80;190;451
45000;70;190;440
45100;70;190;461
45200;70;181;441
45300;70;181;441
45400;80;200;450
45500;70;191;451
45600;70;181;451
45700;80;190;441
45800;70;181;441
45900;70;191;451
46000;70;190;451
46100;70;200;440
46200;70;180;451
46300;1953;191;461
46400;71;180;461
46500;70;190;441
46600;70;210;431
46700;71;190;451
46800;71;190;451
46900;70;180;440
47000;70;180;451
47100;70;200;470
47200;70;191;450
47300;70;181;451
47400;70;180;451
47500;70;181;440
47600;70;181;441
47700;70;180;441
47800;80;180;450
47900;80;191;461
48000;80;191;450
48100;80;191;451
48200;80;191;451
48300;70;181;441
48400;71;190;431
48500;70;180;441
48600;70;180;451
48700;80;190;441
48800;70;181;441
48900;80;191;441
49000;80;190;451
49100;70;191;461
49200;80;181;441
49300;80;190;461
49400;70;190;441
49500;70;181;451
49600;70;181;441
49700;80;180;441
49800;90;180;421
49900;80;191;451
